id,pond_id,total_seed,started_at,finished_at,area,size,berat,id2,harvested_at,status,,,,,,
15308,31460,281600,11/1/2022 0:00,2/2/2023 0:00,2292.88,119.78,481.2,15542,1/3/2023,Partial,,,,,,
15308,31460,281600,11/1/2022 0:00,2/2/2023 0:00,2292.88,119.78,65.54,15543,1/3/2023,Partial,,,,,,
15308,31460,281600,11/1/2022 0:00,2/2/2023 0:00,2292.88,63.42,111.66,15919,1/21/2023,Partial,,,,,,
15308,31460,281600,11/1/2022 0:00,2/2/2023 0:00,2292.88,113.57,180.09,15920,1/21/2023,Partial,,,,,,
15308,31460,281600,11/1/2022 0:00,2/2/2023 0:00,2292.88,113.57,346.57,15921,1/21/2023,Partial,,,,,,
15308,31460,281600,11/1/2022 0:00,2/2/2023 0:00,2292.88,101.81,825.3,16166,2/2/2023,Full,,,,,,
15308,31460,281600,11/1/2022 0:00,2/2/2023 0:00,2292.88,53.77,216.15,16167,2/2/2023,Full,,,,,,
15308,31460,281600,11/1/2022 0:00,2/2/2023 0:00,2292.88,53.77,125.86,16168,2/2/2023,Full,,,,Jumlah Hasil panen,,SR
14583,31451,155792,5/15/2022 0:00,7/23/2022 0:00,1000,111.23,321.26,12107,7/23/2022,Full,,361.2,8.990380293,40180.7252,,26
14583,31451,155792,5/15/2022 0:00,7/23/2022 0:00,1000,111.23,21.87,12108,7/23/2022,Full,,,,,,
14583,31451,155792,5/15/2022 0:00,7/23/2022 0:00,1000,111.23,18.11,12109,7/23/2022,Full,,,,,,
16334,7369,400200,9/19/2022 0:00,1/21/2023 0:00,2820,164.5,337,15581,11/23/2022,Partial,,,,,,
16334,7369,400200,9/19/2022 0:00,1/21/2023 0:00,2820,118.1,698.5,15599,12/14/2022,Partial,,,,,,
16334,7369,400200,9/19/2022 0:00,1/21/2023 0:00,2820,87,366.4,15740,1/3/2023,Partial,,,,,,
16334,7369,400200,9/19/2022 0:00,1/21/2023 0:00,2820,76.2,2670.31,16134,1/21/2023,Full,,,,,,
15005,31258,245115,3/30/2022 0:00,6/10/2022 0:00,1662,87,390,11008,6/10/2022,Full,,,,,,
15005,31258,245115,3/30/2022 0:00,6/10/2022 0:00,1662,87,714,11009,6/10/2022,Full,,,,,,
15005,31258,245115,3/30/2022 0:00,6/10/2022 0:00,1662,87,300,11010,6/10/2022,Full,,,,,,
15005,31258,245115,3/30/2022 0:00,6/10/2022 0:00,1662,87,570,11011,6/10/2022,Full,,,,,,
15005,31258,245115,3/30/2022 0:00,6/10/2022 0:00,1662,87,234.65,11012,6/10/2022,Full,,,,,,
17437,25400,200000,7/24/2022 0:00,10/15/2022 0:00,1200,77,447.62,13521,10/3/2022,,,,,,,
17437,25400,200000,7/24/2022 0:00,10/15/2022 0:00,1200,77,64.58,13522,10/3/2022,,,,,,,
17437,25400,200000,7/24/2022 0:00,10/15/2022 0:00,1200,79,643.42,13884,10/15/2022,Full,,,,,,
17437,25400,200000,7/24/2022 0:00,10/15/2022 0:00,1200,77,447.62,13948,10/3/2022,Partial,,,,,,
17437,25400,200000,7/24/2022 0:00,10/15/2022 0:00,1200,79,38.2,13949,10/15/2022,Full,,,,,,
17437,25400,200000,7/24/2022 0:00,10/15/2022 0:00,1200,58,33.68,13950,10/15/2022,Full,,,,,,
