cycle_id,size,weight,id,harvested_at,status
15308,119.78,481.2,15542,1/3/2023,Partial
15308,119.78,65.54,15543,1/3/2023,Partial
15308,63.42,111.66,15919,1/21/2023,Partial
15308,113.57,180.09,15920,1/21/2023,Partial
15308,113.57,346.57,15921,1/21/2023,Partial
15308,101.81,825.3,16166,2/2/2023,Full
15308,53.77,216.15,16167,2/2/2023,Full
15308,53.77,125.86,16168,2/2/2023,Full
18918,75.62,551.4,5905,6/18/2021,Partial
18918,75.62,0.5,5906,6/18/2021,Partial
18918,58.61,602.81,6000,6/30/2021,Partial
18918,58.61,2.66,6001,6/30/2021,Partial
18918,50,637.13,6002,7/8/2021,Partial
18918,50,4.8,6003,7/8/2021,Partial
18918,37.311,3131.6,6439,7/28/2021,Full
18918,37.311,58.29,6440,7/28/2021,Full
17721,61,315.93,19432,5/30/2023,Full
12359,94,304.23,15017,12/10/2022,Partial
12359,94,8.44,15018,12/10/2022,Partial
12359,79,973.75,15561,12/19/2022,Partial
12359,79,16.75,15562,12/19/2022,Partial
12359,94,304.23,15996,12/11/2022,Partial
12359,94,8.44,15997,12/11/2022,Partial
12359,39,3797.59,16250,1/31/2023,Full
12359,39,10,16251,1/31/2023,Full
12359,39,3,16252,1/31/2023,Full
12359,67.5,103.86,16253,1/31/2023,Full
12359,67.5,6,16254,1/31/2023,Full
12359,39,53.63,16255,1/31/2023,Full
12359,39,2.6,16256,1/31/2023,Full
14822,93.55,377.85,12479,7/19/2022,Partial
14822,71.59,383.87,12480,8/1/2022,Partial
14822,60,2416.24,12481,8/13/2022,Full
16064,50,2.56,11621,7/4/2022,Full
20151,133,391.28,15654,1/8/2023,Partial
20151,192,30,15698,1/8/2023,Partial
20151,192,3,15762,1/8/2023,Partial
20151,102,554.04,15808,1/16/2023,Partial
20151,102,478.88,15860,1/16/2023,Partial
20151,180,75.16,15981,1/16/2023,Partial
20151,73.5,891.84,16292,2/10/2023,Full
20151,73.5,31.46,16293,2/10/2023,Full
20151,190,29,16315,2/10/2023,Full
20151,190,6.44,16319,2/10/2023,Full
20151,190,2,16320,2/10/2023,Full
20151,190,2.78,16321,2/10/2023,Full
20151,190,5,16322,2/10/2023,Full
20151,190,1.5,16323,2/10/2023,Full
20151,190,17.22,16324,2/10/2023,Full
17633,82.09,117.11,9388,1/9/2022,Full
17741,96.6,244.8,11156,6/18/2022,Partial
17741,96.6,8.76,11164,6/18/2022,Partial
17741,37.8,841.87,12156,7/25/2022,Full
17741,37,13.9,12157,7/25/2022,Full
20837,141,1062.73,15567,1/6/2023,Full
20837,141,104.82,15568,1/6/2023,Full
20837,141,82.26,15569,1/6/2023,Full
20259,130,222.6,16610,3/7/2023,Partial
20259,91.2,413.55,16902,3/21/2023,Partial
20259,68.4,494.74,17201,4/4/2023,Partial
20259,54.48,410.92,17496,4/15/2023,Partial
20259,41.8,2464.66,17857,5/3/2023,Full
15778,160,666.8,12872,8/28/2022,Full
15067,350,84,16923,3/24/2023,Partial
15067,350,173,17097,4/2/2023,Full
16636,165,100,16426,2/19/2023,Partial
16636,130,30,16554,2/25/2023,Partial
16636,120,515,16555,2/27/2023,Full
19318,98,800,13132,9/3/2022,Full
12491,50,4600,12813,7/20/2022,Failed
16513,139.24,573.24,15536,1/3/2023,Partial
16513,139.24,1.88,15537,1/3/2023,Partial
16513,102.31,745.6,15928,1/22/2023,Partial
16513,102.31,25.45,15929,1/22/2023,Partial
16513,89.24,973.03,16177,2/1/2023,Full
16513,98.44,38.89,16178,2/1/2023,Full
20294,103,215,17826,5/9/2023,Full
15017,296.8,0.4,10446,4/9/2022,Partial
15017,170.3,1.42,10447,4/16/2022,Partial
15017,126.4,1.52,10448,4/23/2022,Partial
15017,79.9,2071.72,10644,5/12/2022,Full
15017,102.8,597.4,10670,5/4/2022,Partial
17437,77,447.62,13521,10/3/2022,
17437,77,64.58,13522,10/3/2022,
17437,79,643.42,13884,10/15/2022,Full
17437,77,447.62,13948,10/3/2022,Partial
17437,79,38.2,13949,10/15/2022,Full
17437,58,33.68,13950,10/15/2022,Full
17437,58,571.54,13959,10/15/2022,Full
17437,77,64.58,14097,10/3/2022,Partial
17437,58,571.54,14109,10/15/2022,Full
17437,79,38.2,14110,10/15/2022,Full
17437,79,33.68,14111,10/15/2022,
17437,58,571.74,14498,10/15/2022,
17437,79,38.2,14499,10/15/2022,
17437,58,33.68,14500,10/15/2022,Full
21019,158.36,737.01,12075,7/23/2022,Full
21019,158.36,9.58,12076,7/23/2022,Full
17882,210,240,19619,7/11/2023,Full
16961,230,42,10259,2/23/2021,Partial
16961,185,153,10260,3/6/2021,Full
16626,450,95,17592,4/26/2023,Full
9104,88,72,10937,6/2/2022,Full
16666,138,1,5473,6/11/2021,Partial
16666,138,256.85,5474,6/11/2021,Partial
16666,92.83,508.47,5984,6/27/2021,Partial
16666,92.83,0.66,5985,6/27/2021,Partial
16666,71,611.23,6048,7/9/2021,Partial
16666,71,4.69,6049,7/9/2021,Partial
16666,54.276,2306.2,6429,7/30/2021,Full
16666,54.276,0,6430,7/30/2021,Full
15511,304,262.46,11312,6/30/2022,Full
9097,250,97.54,9031,11/27/2021,Partial
9097,210,89.39,9032,12/7/2021,Partial
9097,136,85.53,9033,1/5/2022,Full
17832,140,70,13124,9/13/2022,Full
14437,20.4,3759,15837,1/18/2023,Full
21023,88,8555,18671,4/2/2023,Full
20742,60.2,1549.31,15486,1/2/2023,Full
20742,150,80.11,15487,1/2/2023,Full
20742,60.2,15,15489,1/2/2023,Full
20742,60.2,127,15495,1/2/2023,Full
19685,51.08,166.18,15291,12/21/2022,Full
16331,300,17,11588,6/23/2022,Full
17639,57,488.11,10119,4/6/2022,Partial
17639,42,13.5,10343,4/23/2022,Partial
17639,42,743.7,10463,4/23/2022,Partial
17639,42,31,10464,4/23/2022,Partial
17639,57,27.65,10477,4/6/2022,Partial
17639,30,1888.9,10609,5/9/2022,Full
17639,50,55.15,10610,5/9/2022,Full
17639,30,12,10611,5/9/2022,Full
17639,30,11,10613,5/9/2022,Full
15493,350,110,17134,4/4/2023,Full
19303,17.5,3078,14947,12/8/2022,Full
18827,153,15,19643,7/2/2023,Full
19471,96,3000,18415,6/4/2023,Full
15789,190,300,11383,6/21/2022,Full
15789,190,288.71,12603,6/21/2022,Full
15789,200,90,12604,6/21/2022,Full
20671,177,136.8,16639,3/12/2023,Partial
20671,177,136.8,16686,3/12/2023,
20671,140,61.8,16921,3/26/2023,Partial
20671,177,136.8,16974,3/12/2023,
20671,140,61.8,16975,3/26/2023,
20671,177,136.8,17558,3/12/2023,Partial
20671,140,61.8,17560,3/26/2023,Partial
20671,95,534.05,17565,4/17/2023,Full
20671,95,12.8,17566,4/17/2023,Full
18754,130,370,10302,4/16/2022,Partial
18754,128,284,10303,4/18/2022,Full
15836,22.2,3740,18859,6/20/2023,Full
23531,166,816,14468,11/11/2022,Partial
20246,100,272.5,16636,3/12/2023,Partial
20246,71,251.55,16919,3/26/2023,Partial
20246,56,235.85,17176,4/6/2023,Partial
20246,48,892.72,17500,4/17/2023,Full
